app,userName,score,content,at,thumbsUpCount
Traveloka,Labib Nur Diansyah,5,cepat,2025-04-07 10:33:58,0
Traveloka,Agus Sutrisno,3,sangat cepat dan mudah,2025-04-07 10:06:06,0
Traveloka,Hamdika Ainun Rais,1,"spek hotel di aplikasi tidak sesuai dengan kenyataan, tidak bisa refund juga",2025-04-07 07:40:36,0
Traveloka,Irwan 14,1,"dikasih limit sampai 35 juta,tapi buat belanja online guna kebutuhan hidup malah ga dikasih, ya sudah ga apa apa, ini kali terakhir aku pakai traveloka dan ga mau pakai traveloka lagi untuk pembelian tiket kereta, aku sangat kecewa sekali sama traveloka padahal aku sudah menjadi nasabah setia traveloka bertahun tahun, dan kalo seumpama aku udah dikasih buat belanja online nya, aku naikkan ke bintang lima, dan akan menggunakan traveloka lagi untuk beli tiket kereta... mkaciii",2025-04-07 06:01:40,22
Traveloka,Ipoel ulum,5,bagus,2025-04-07 05:29:01,0
Traveloka,Yanti Dwi Whardani,5,sangat membantu. tidak perlu ke agen atau ke stasiun.,2025-04-07 04:15:27,0
Traveloka,WRD Ginting,1,Admin tolong dong iklan ini ganggu trs,2025-04-07 04:11:32,0
Traveloka,Azhari Habibie,5,aplikasi terpercaya 👍,2025-04-07 04:04:35,0
Traveloka,New Oppo F11 2025,5,Semoga Membantu Saya Dan Keluarga Saya . Aamiin Ya Allah 🤲🏻,2025-04-07 03:58:47,0
Traveloka,Muarsa Aryus,5,"cepat,sesuai dan akurat",2025-04-07 02:13:49,0
Traveloka,Cep Jiban Permana,5,Udah ngecek dan nyoba traveloka termurah,2025-04-07 02:09:34,0
Traveloka,adi purnanto,5,operasi app mudah,2025-04-06 23:51:30,0
Traveloka,Numa Mawar,1,baru di coba,2025-04-06 23:31:33,0
Traveloka,Givan D Seftiana,1,kena jebakan nih niat boking mau nginap di hotel biasanya masuk ke tanggal hari ini tiba2 pas setelah pesan masuk nya ke bulan depan dan tidak bisa refund,2025-04-06 22:12:10,0
Traveloka,Luthfia Azizah,1,"mending gausah ada fitur check in online kalo sistemnya belum beres. pesawat yg harusnya masih bisa pilih kursi, malah auto dapet kursi paling belakang. padahal baru 2 menit check in open, bela belain bangun jam 3 subuh. kecewa? bgtt! naik pesawat dengan maskapai yg sama bukan kali pertama, tapi ini kali pertama check in online dari traveloka dan hasilnya ZONK! mengecewakan.",2025-04-06 19:57:56,0
Traveloka,Nachts,5,akun sudah ada,2025-04-06 16:03:35,0
Traveloka,Sandi Agung,5,ok,2025-04-06 15:42:06,0
Traveloka,Desy Fitriyani Sari,2,berharap banget tiket pesawat antar Indonesia tidak terlalu mahal 🙃,2025-04-06 15:26:01,0
Traveloka,Akun Diyi,1,"...ARNES TRANPORTASI... Pengalaman saya Datang tidak tepat waktu, LAMBAT 5 JAM, Tolong cek sesuaikan armada dan Waktu LAPANGAN, ...TIDAK MENGHARGAI WAKTU... (Pahamilah...) Bantuan HELP CENTER jangan template...!!!",2025-04-06 13:17:45,0
Traveloka,Dian Damaiyanti,1,setelah di update fitur searchnya malah gak fungsiiiii,2025-04-06 13:14:42,0
Traveloka,SARIFIN,5,sangat membantu,2025-04-06 11:47:01,0
Traveloka,Pahmi Ramadani,1,APLIKASINYA TIDAK JELAS HAPUS AJA BANG,2025-04-06 11:40:50,0
Traveloka,Azah Azah,1,"Tpaylater nya ga guna, baru aja ngisi data diri langsung ditolak, padahal sudah benar data yg ku kirim, ga guna sekali apalikasinya",2025-04-06 11:35:12,0
Traveloka,Febri Anto,5,amanah...akurat...beli tiket sambil rebahan gak perlu keluar dr kamar👍👍👍👍👍👍👍👍👍👍,2025-04-06 10:32:57,0
Traveloka,Yanto Simbolon,5,ok,2025-04-06 07:57:16,0
Traveloka,Devi Beddep,5,good,2025-04-06 07:32:53,0
